,Template,Frequency,Class
0,[c:4]-[C:2]-[C:3]=[O:1]>>[O:1]-[C:2]1-[C:3]-[c:4]-1_0000_0000_0000,1,1
1,[O:3].[N:1]-[C:5]-[C:4](-[c:6])-[N:2]>>[N:1].[N:2].C-C(=O)-[O:3].O=[C:4]-[C:5]-[c:6]_11-1000_000000_000000,1,2
2,[O:3].[c:1]-[Br:2]>>[c:1].Br-[Br:2].C-C(-C)(-C)-[O:3]_10-1_000_000,1,3
3,[c:1]:[c:3]:[c:2]:[c:4]-[C:5]=[O:6]>>[c:1]:[c:2]:[c:3]:[c:4]-[C:5]1-O-C-C-[O:6]-1_000000_000000_000000,1,4
4,[O:1]-[C:2]>>[O:1].O-C(=O)-[C@@H](-C-c1:c:c:c(-O):c(-O):c:1)-O-[C:2]_10_00_00,1,5
5,[O:3].[c:1]-[C:2]>>[c:1].C-N(-C)-[C:2].C-C(-C)(-C)-[Si](-[O:3])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_10-1_000_000,1,6
6,[O:3].[O:4].[O:5].[O:6].[O:7].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5].C-C(=O)-[O:6].C-C(=O)-[O:7]_10-1-1-1-1-1_0000000_0000000,1,7
7,[C:2].[c:4]:[n:5]:[c:3]:[n:1]>>[N:1].C-[Si](-C)(-C)-[C:2].O-[C:3]=O.[C:4]=[N:5]_2-1001_00000_00000,1,8
8,[O:2].[O:1]=[c:3]:[n:4]>>[O:1].C-[O:2].F-[c:3]:[n:4]_2-10-1_0000_0000,1,9
9,[c:1]-[N:3]=[N:4]>>Cl-[c:1].O=[C:2].[N:3]-[N:4]_0012_0000_0000,1,10
10,[N:1]-[c:2]>>[N:1].[c:2]-N-C-c1:c:c:c:c:c:1_10_00_00,1,11
11,[O:2].[c:1]:[c:5]:[c:4]:[n:3]>>[c:1].C-[O:2].N-[N:3].C-O-[C:4](-[C:5])-O-C_1-1002_00000_00000,1,12
12,[O:3].[c:1]-[S:2]>>Br-[c:1].[Na]-[S:2].C-C-[O:3]_00-1_000_000,1,13
13,[O:1]-[C:2]>>[O:1].N-c1:c:c:c(-O-[C@@H]2-O-[C@H](-C-O)-[C@H](-O)-[C@H](-O-[C:2])-[C@@H]-2-O):c:c:1_10_00_00,1,14
14,[O:4].[O:5].[N:1]-[C:2]-[N:3]>>[N:1].[C:2]=[N:3].C-C(-C)(-C)-[Si](-C)(-C)-[O:4].C-C(-C)(-C)-[Si](-C)(-C)-[O:5]_10-1-1-1_00000_00000,1,15
15,[C:1]-[I:2]>>O-C(=O)-[C:1].C-N1-C(=O)-N(-[I:2])-C(-C)(-C)-C-1=O_00_00_00,1,16
16,[O:6].[c:1]:[c:3]:[c:4]:[n:5]:[c:2]>>[c:1].O=[C:2].C-O-[C:3](-O-C)-[C:4]-[N:5].[O:6]-C-c1:c:c:c:c:c:1_10012-1_000000_000000,1,17
17,[O:2].[C:1]1-[C:4]-[C:3]-1>>[C:1].C-[O:2].Br-[C:3]-[C:4]-Br_2-100_0000_0000,1,18
18,[C:1]-[Br:2]>>Cl-[C:1].[Br:2]-[Na]_00_00_00,1,19
19,[c:1]-[C:2]>>[c:1].C-C-O-C(=O)-O-[C:2]_10_00_00,1,20
20,[n:3].[O:1]-[C:2]>>[O:1].I-[C:2].C-c1:c:c:c(-S(=O)(=O)-[n:3]):c:c:1_10-1_000_000,1,21
21,[c:3]1:[n:2]:[n:1]:[c:4]:[c:5]:1>>[N:1]-[n:2]:[c:3].C-[Si](-C)(-C)-[C:4]#[C:5]_201-10_01000_00000,1,22
22,[c:1]-[N:2]>>O-C(=O)-[c:1].[N-]=[N+]=[N:2]_0-1_00_00,1,23
23,[N:3]-[N:4].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3]-[N:4](-C(=O)-O-C(-C)(-C)-C)-C(=O)-O-C(-C)(-C)-C_10-1-2_0000_0000,1,24
24,[n:3].[N:4].[N:1]-[c:2]>>[N:1].F-[c:2].C-[Si](-C)(-C)-C-C-O-C-[n:3].C-C(-C)(-C)-O-C(=O)-[N:4]_10-1-1_0000_0000,1,25
25,[N:1].[c:2]:[c:3]:[c:4]:[c:5]>>C-C(-C)(-C)-O-C(=O)-[N:1].[C:2]-[C:3]-[C:4]=[C:5]_-11100_00000_00000,1,26
26,[N:3].[c:1]-[C:2]>>Cl-[c:1].O-B(-O)-[C:2].C-O-c1:c:c:c(-C-[N:3]):c(-O-C):c:1_00-1_000_000,1,27
27,[n:4].[N:1]=[C:2]>>[N:1].[C:2]#[N:3].C-c1:c:c:c(-S(=O)(=O)-[n:4]):c:c:1_20-2-1_0000_0000,1,28
28,[N:4].[N:3].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-O-c1:c:c:c(-C-[N:4]-C-c2:c:c:c(-O-C):c:c:2):c:c:1_10-1-2_0000_0000,1,29
29,[O:3]-[c:2]:[c:5]:[c:4](-[O:6]):[n:1]>>[N:1].C-O-[C:2]=[O:3].C-C-O-[C:4](-[C:5])=[O:6]_20-102-1_000000_000000,1,30
30,[O:1]-[c:2]>>[O:1].Cl-c1:c:c:c(-B2-O-B(-[c:2])-O-B(-c3:c:c:c(-Cl):c(-Cl):c:3)-O-2):c:c:1-Cl_10_00_00,1,31
31,[O:2].[N:1]-[C:3]>>[N:1].C-C-[O:2].O=[C:3]_2-1-1_100_000,1,32
32,[C:1]-[N:2]>>C-C(-C)(-O-[C:1])-c1:c:c:c:c:c:1.O=C(-[N:2])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1_00_00_00,1,33
33,[C:1]-[C:4]-[C:3]=[O:2]>>I-[C:1].C-C-[Si](-C-C)(-C-C)-[O:2]-[C:3]=[C:4]_0000_0000_0000,1,34
34,[N:1]-[C:2](-[N:3])=[O:4]>>[N:1]=[C:2]=[N:3].[O:4]-C-c1:c:c:c:c2:c:c3:c:c:c:c:c:3:c:c:1:2_-10-11_0000_0000,1,35
35,[O:1]-[C:2]>>[O:1].C-C(-C)(-C)-O-C(=O)-N-C-C-N-[C:2]_10_00_00,1,36
36,[c:2]:[c:1]:[c:3]:[n:4]>>O-C(=O)-[C:1](-[C:2])-[C:3]=[N:4]_0100_0000_0000,1,37
37,[O:3].[c:1]:[c:4]:[c:5]:[c:6]:[n:2]>>[c:1].[N:2].C-[O:3].C-C-O-[C:4]-[C:5]-[C:6]=O_11-1010_000000_000000,1,38
38,[C:1]-[N:2]>>Cl-[C:1].Cl-c1:n:c:c(-C-[N:2]):s:1_00_00_00,1,39
39,[N:1]-[C:2]>>[N:1].C-C-N1-C-C-N(-[C@@H]2-C-C-[C@@H](-N-[C:2])-C-C-2)-C-C-1_10_00_00,1,40
