,Template,edit_site,change_H,change_C,change_S,Frequency
0,[N:3].[c:1]-[Cl:2]>>O-[c:1].Cl-P(-Cl)(=O)-[Cl:2].C-C(-C)(-C)-O-C(=O)-[N:3]_00-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",6
1,[c:1]-[c:2]>>Br-[c:1].I-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",226
2,[c:1]-[B:2]>>Br-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",9763
3,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1587
4,[C:1]-[C:2]>>[Br]-[Mg]-[C:1].C-O-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1321
5,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",117411
6,[C:1]-[N:2]>>[C:1]#[N:2]_-2-2_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: -2, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",3141
7,[N:1]>>O=[N:1]-[O-]_-2_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 1},{1: 0},25743
8,[N:1]-[C:2]>>[N:1].C-O-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",194
9,[c:1]-[c:2]>>I-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",3741
10,[C:1]-[O:2]>>C-C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",5046
11,[N:1]=[C:2]>>[N:1].Cl-[C:2]-Cl_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 2, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",776
12,[N:1]-[c:2]>>[N:1].O-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",862
